SCP, SCP_REFERENCE_N, N_OF_OCCUR
2, 2, 12
3, 3, 13
4, 4, 7
5, 5, 13
6, 6, 11
7, 7, 4
8, 8, 12
9, 9, 28
10, 10, 8
11, 11, 15
12, 12, 4
13, 13, 10
14, 14, 6
15, 15, 14
16, 16, 25
17, 17, 8
18, 18, 10
19, 19, 16
20, 20, 12
21, 21, 12
22, 22, 15
23, 23, 18
24, 24, 33
25, 25, 10
26, 26, 14
27, 27, 17
28, 28, 21
29, 29, 25
30, 30, 42
31, 31, 39
31, 1427, 13
32, 32, 15
33, 33, 19
34, 34, 19
35, 35, 42
35, 148, 1
36, 36, 4
37, 37, 11
38, 38, 17
38, 173, 3
39, 39, 23
40, 40, 16
41, 41, 18
42, 42, 20
43, 43, 6
44, 44, 20
45, 45, 25
46, 46, 33
47, 47, 12
48, 48, 10
49, 49, 72
50, 50, 11
51, 51, 8
52, 52, 15
53, 53, 16
54, 54, 7
55, 55, 15
56, 56, 11
57, 57, 13
58, 58, 32
59, 59, 16
60, 60, 14
61, 61, 17
62, 62, 19
63, 63, 8
64, 64, 11
65, 65, 14
66, 66, 26
67, 67, 17
68, 68, 18
69, 69, 26
70, 70, 35
71, 71, 20
72, 72, 18
73, 73, 25
73, 76, 2
74, 74, 22
75, 75, 10
76, 76, 9
77, 77, 10
78, 78, 15
79, 79, 26
79, 682, 2
80, 80, 19
81, 81, 16
82, 82, 19
83, 83, 25
84, 84, 20
85, 85, 26
85, 914, 1
86, 86, 20
87, 87, 13
88, 88, 22
89, 89, 9
90, 90, 13
91, 91, 21
92, 92, 14
93, 93, 40
94, 94, 19
95, 95, 6
96, 96, 14
97, 97, 20
98, 98, 17
99, 99, 8
100, 100, 31
101, 101, 24
102, 102, 5
103, 103, 22
104, 104, 23
105, 105, 31
106, 106, 52
107, 107, 19
108, 108, 8
109, 109, 18
110, 110, 27
111, 111, 12
112, 112, 23
113, 113, 21
114, 114, 20
115, 115, 3
116, 116, 22
117, 117, 7
117, 882, 2
118, 118, 43
119, 119, 20
120, 120, 19
121, 121, 16
122, 122, 18
123, 123, 14
124, 124, 13
125, 125, 25
126, 126, 35
127, 127, 10
128, 128, 11
129, 129, 18
130, 130, 14
131, 131, 2
131, 173, 3
132, 132, 24
133, 133, 13
134, 134, 30
135, 135, 13
136, 136, 10
137, 137, 13
138, 138, 8
139, 139, 8
140, 140, 24
141, 141, 21
142, 142, 18
143, 143, 9
144, 144, 10
145, 145, 11
146, 146, 33
147, 147, 15
148, 148, 31
149, 149, 13
150, 150, 20
151, 151, 9
152, 152, 21
153, 153, 13
154, 154, 8
155, 155, 22
156, 156, 15
157, 157, 29
158, 158, 6
159, 159, 15
160, 160, 14
161, 161, 27
162, 162, 13
163, 163, 43
164, 164, 11
165, 165, 17
166, 166, 20
167, 167, 12
168, 168, 13
169, 169, 18
170, 170, 13
171, 171, 22
172, 172, 36
173, 173, 6
174, 174, 29
175, 175, 26
176, 176, 7
177, 177, 26
178, 178, 4
179, 179, 58
180, 180, 13
181, 181, 16
182, 182, 19
183, 183, 9
184, 184, 22
185, 185, 7
186, 186, 17
187, 187, 20
188, 188, 18
189, 189, 24
190, 190, 18
191, 191, 18
192, 192, 24
193, 193, 4
194, 194, 16
195, 195, 14
196, 196, 16
197, 197, 27
198, 198, 28
199, 199, 19
200, 200, 18
201, 201, 12
202, 202, 14
203, 203, 26
204, 204, 2
205, 205, 15
206, 206, 18
207, 207, 10
208, 208, 21
209, 209, 33
210, 210, 12
211, 211, 19
212, 212, 17
213, 213, 35
214, 214, 16
215, 215, 17
216, 216, 14
217, 217, 16
218, 218, 13
219, 219, 23
220, 220, 28
221, 221, 20
222, 222, 5
223, 223, 17
224, 224, 10
225, 225, 4
226, 226, 13
227, 227, 24
228, 228, 15
229, 229, 20
230, 230, 29
231, 231, 2
232, 232, 28
233, 233, 9
233, 2323, 1
234, 234, 18
235, 235, 13
236, 236, 20
237, 237, 3
238, 238, 30
238, 610, 1
239, 239, 14
240, 240, 16
241, 241, 65
242, 242, 10
243, 243, 12
243, 1507, 2
244, 244, 2
245, 245, 5
245, 2623, 1
246, 246, 13
247, 247, 41
247, 148, 2
248, 248, 20
249, 249, 17
250, 250, 13
251, 251, 7
252, 252, 13
253, 253, 19
254, 254, 20
255, 255, 33
256, 256, 12
257, 257, 11
258, 258, 20
259, 259, 17
260, 260, 23
261, 261, 22
261, 2107, 1
262, 262, 39
263, 263, 20
264, 264, 16
265, 265, 16
266, 266, 16
267, 267, 13
268, 268, 15
268, 180, 2
269, 269, 20
270, 270, 14
271, 271, 10
272, 272, 5
273, 273, 30
274, 274, 20
275, 275, 4
276, 276, 15
277, 277, 18
278, 278, 19
279, 279, 35
280, 280, 33
280, 1591, 1
281, 281, 13
282, 282, 20
283, 283, 11
284, 284, 2
285, 285, 20
286, 286, 32
286, 435, 2
287, 287, 20
288, 288, 15
289, 289, 19
290, 290, 14
291, 291, 20
292, 292, 33
293, 293, 26
294, 294, 25
295, 295, 16
296, 296, 13
297, 297, 9
298, 298, 26
299, 299, 32
300, 300, 10
301, 301, 30
302, 302, 6
303, 303, 32
304, 304, 10
305, 305, 17
306, 306, 29
307, 307, 17
308, 308, 14
309, 309, 13
310, 310, 27
311, 311, 5
312, 312, 15
313, 313, 9
314, 314, 24
315, 315, 4
316, 316, 18
317, 317, 2
318, 318, 15
319, 319, 12
320, 320, 20
321, 321, 24
322, 322, 5
323, 323, 25
324, 324, 17
325, 325, 26
326, 326, 18
327, 327, 15
328, 328, 20
329, 329, 8
330, 330, 9
331, 331, 11
331, 8, 1
332, 332, 31
333, 333, 5
334, 334, 23
335, 335, 6
335, 76, 2
336, 336, 14
337, 337, 41
338, 338, 11
339, 339, 15
340, 340, 29
341, 341, 5
342, 342, 18
343, 343, 15
344, 344, 14
345, 345, 25
346, 346, 20
346, 1265, 1
347, 347, 26
348, 348, 22
349, 349, 7
350, 350, 16
351, 351, 13
351, 9906, 3
351, 3840, 1
352, 352, 28
353, 353, 13
354, 354, 25
355, 355, 8
356, 356, 30
357, 357, 51
358, 358, 18
359, 359, 56
360, 360, 15
361, 361, 21
361, 1510, 2
362, 362, 24
363, 363, 14
364, 364, 17
365, 365, 11
366, 366, 17
367, 367, 29
368, 368, 15
369, 369, 12
370, 370, 30
371, 371, 18
372, 372, 17
373, 373, 17
374, 374, 9
375, 375, 20
375, 4839, 1
376, 376, 29
377, 377, 8
378, 378, 30
379, 379, 16
379, 915, 2
380, 380, 5
381, 381, 9
382, 382, 6
383, 383, 25
384, 384, 31
385, 385, 10
386, 386, 17
387, 387, 27
388, 388, 15
389, 389, 10
390, 390, 9
391, 391, 18
392, 392, 30
392, 2733, 3
392, 140, 1
393, 393, 11
394, 394, 8
395, 395, 15
396, 396, 24
396, 1609, 2
397, 397, 19
398, 398, 5
399, 399, 19
400, 400, 34
401, 401, 17
402, 402, 13
403, 403, 14
404, 404, 8
405, 405, 20
406, 406, 9
407, 407, 19
408, 408, 27
408, 682, 1
409, 409, 13
410, 410, 36
411, 411, 21
412, 412, 15
413, 413, 27
414, 414, 13
415, 415, 13
416, 416, 14
417, 417, 11
418, 418, 26
419, 419, 21
420, 420, 7
421, 421, 27
422, 422, 8
423, 423, 16
424, 424, 13
425, 425, 15
426, 426, 3
427, 427, 13
427, 500, 2
428, 428, 23
429, 429, 14
